,Member No_,Total_Lifetime_Spending,Correct_Category_Member,Num_of_Win,Num_of_Drop,Number_of_purchases,Discount_code_usage_count,Avg_Days_Between_Transactions,Gender,Age_Group,Store_No.,Purchase_Type,Customer_Type,churn
2848,906873879,41239000,Silver,1,0,6,0,118.3333333,Male,25-34 Years,HCM,For Self,Individual,1
2849,906889111,27049000,Silver,1,0,2,10,56.33333333,Female,18-24 Years,HCM,For Self,Individual,0
2850,906911882,19011000,Silver,1,0,2,1,6.0,Female,25-34 Years,HCM,For Self,Individual,1
2851,906926288,38908000,Silver,1,0,4,16,48.25,Female,35-44 Years,HCM,For Self,Individual,1
2852,906976990,32660000,Silver,1,0,3,35,5.0,Female,18-24 Years,HCM,For Self,Individual,1
2853,907003999,29370000,Silver,1,0,2,10,16.0,Female,Unknown,HN,For Self,Individual,1
2854,907037373,25368000,Silver,1,0,6,3,23.33333333,Male,18-24 Years,HCM,Gift to Others,Individual,1
2855,907039079,39100000,Silver,1,0,5,0,72.6,Female,Unknown,HCM,For Self,Individual,1
2856,907059338,21140000,Silver,1,0,3,0,38.33333333,Male,35-44 Years,HCM,Gift to Others,Individual,1
2857,907101037,37240000,Gold,1,0,2,0,2.0,Female,35-44 Years,HCM,For Self,Individual,1
2858,907157686,37070000,Silver,1,0,3,2,11.66666667,Female,18-24 Years,HN,Gift to Others,Individual,1
2859,907171305,25400000,Silver,1,0,3,10,133.3333333,Female,35-44 Years,HCM,For Self,Individual,0
2860,907211422,31495000,Silver,1,0,2,0,33.5,Female,25-34 Years,HCM,For Self,Individual,1
2861,907259460,37593500,Silver,1,0,3,1,333.6666667,Female,18-24 Years,HCM,For Self,Individual,0
2862,907376789,20610000,Silver,1,0,2,0,163.5,Female,35-44 Years,HCM,For Self,Individual,1
2863,907490119,34867000,Silver,1,0,3,12,25.33333333,Female,25-34 Years,HCM,For Self,Individual,1
2864,907517595,26720000,Silver,1,0,2,4,102.0,Female,45-54 Years,HCM,For Self,Individual,1
2865,907520785,40805000,Silver,1,0,4,17,89.25,Female,25-34 Years,HCM,For Self,Individual,0
2866,907552463,43575000,Silver,1,0,5,17,256.4,Female,Unknown,HCM,For Self,Individual,0
2867,907561888,17380000,Silver,1,0,2,0,164.5,Female,35-44 Years,HCM,For Self,Individual,1
2868,907567297,36936000,Silver,1,0,6,10,67.66666667,Female,35-44 Years,HCM,For Self,Individual,0
2869,907575859,40227500,Silver,1,0,2,14,7.0,Female,35-44 Years,HCM,Gift to Others,Individual,1
2870,907621108,74246500,Gold,2,0,7,17,37.42857143,Female,35-44 Years,HCM,Gift to Others,Individual,0
2871,907622842,20641000,Silver,1,0,3,6,50.0,Female,45-54 Years,HCM,For Self,Individual,1
2872,907668832,28969000,Silver,1,0,4,0,11.25,Male,35-44 Years,HCM,Gift to Others,Unknown,1
2873,907707121,24872000,Silver,1,0,2,11,40.0,Male,25-34 Years,HCM,Gift to Others,Company,1
2874,907758789,26374000,Silver,1,0,4,12,91.75,Female,35-44 Years,ONLINE,For Self,Individual,0
2875,907767447,49342000,Silver,1,0,12,0,78.66666667,Female,25-34 Years,HN,For Self,Individual,1
2876,907777791,24070000,Silver,1,0,5,2,92.4,Female,35-44 Years,HCM,For Self,Individual,0
2877,907818666,29804000,Silver,1,0,6,0,163.6666667,Female,35-44 Years,HCM,For Self,Individual,1
2878,907857968,28974000,Silver,1,0,3,15,22.66666667,Female,25-34 Years,HCM,For Self,Individual,1
2879,907888388,47715200,Silver,1,0,10,0,49.0,Female,35-44 Years,HN,For Self,Individual,1
